Gildan New Mexico,Arizona,New Mexico,10,2015-12-19 19:00:00 -800,ESPN
Royal Purple Las Vegas,Utah,BYU,2,2015-12-19 20:30:00 -800,ABC
Raycom Media Camellia,Appalachian St.,Ohio,8.5,2015-12-19 22:30:00 -800,ESPN
Cure,San Jose St.,Georgia St.,3.5,2015-12-20 00:00:00 -800,CBSSN
R+L Carriers New Orleans,Louisiana Tech,Arkansas St.,2,2015-12-20 02:00:00 -800,ESPN
Miami Beach,W. Kentucky,S. Florida,3,2015-12-21 19:30:00 -800,ESPN
Famous Idaho Potato,Utah State,Akron,6.5,2015-12-22 20:30:00 -800,ESPN
Marmot Boca Raton,Temple,Toledo,2,2015-12-23 00:00:00 -800,ESPN
San Diego County Credit Union Poinsettia,Boise State,N. Illinois,9,2015-12-23 21:30:00 -800,ESPN
Go Daddy,Bowling Green,Georgia Southern,7,2015-12-24 01:00:00 -800,ESPN
Popeyes Bahamas,W. Michigan,Middle Tennessee,2.5,2015-12-24 17:00:00 -800,ESPN
Hawaii,Cincinnati,San Diego St.,2,2015-12-25 01:00:00 -800,ESPN
St. Petersburg,Marshall,UConn,3.5,2015-12-26 16:00:00 -800,ESPN
Hyundai Sun ,Washington State,Miami,1.5,2015-12-26 17:00:00 -800,CBS
Zaxby's Heart of Dallas,Washington,S. Mississippi,8,2015-12-26 19:20:00 -800,ESPN
New Era Pinstripe,Duke,Indiana,2.5,2015-12-26 20:30:00 -800,ABC
Camping World Independence,Virginia Tech,Tulsa,13,2015-12-26 22:45:00 -800,ESPN
Foster Farms,UCLA,Nebraska,6,2015-12-27 02:15:00 -800,ESPN
Military,Navy,Pittsburgh,3.5,2015-12-28 19:30:00 -800,ESPN2
Quick Lane,Minnesota,Central Michigan,6,2015-12-28 22:00:00 -800,ESPN
Lockheed Martin Armed Forces,California,Air Force,5.5,2015-12-29 19:00:00 -800,ESPN
Russell Athletic,North Carolina,Baylor,3,2015-12-29 22:30:00 -800,ESPN
Nova Home Loans Arizona,Colorado State,Nevada,3,2015-12-30 00:30:00 -800,ASN
Advocare V100 Texas,LSU,Texas Tech,6.5,2015-12-30 02:00:00 -800,ESPN
Birmingham,Auburn,Memphis,2,2015-12-30 17:00:00 -800,ESPN
Belk,Mississippi St.,NC State,5.5,2015-12-30 20:30:00 -800,ESPN
Franklin American Mortgage Music City,Texas A&M,Lousiville,2.5,2015-12-30 00:00:00 -800,ESPN
Holiday,USC,Wisconsin,3,2015-12-31 03:30:00 -800,ESPN
Chick-fil-A Peach,Florida State,Houston,6.5,2015-12-31 17:00:00 -800,ESPN
Capital One Orange,Oklahoma,Clemson,2.5,2015-12-31 21:00:00 -800,ESPN
Goodyear Cotton,Alabama,Michigan State,9.5,2016-01-01 01:00:00 -800,ESPN
Outback,Tennessee,Northwestern,9.5,2016-01-01 17:00:00 -800,ESPN2
Buffalo Wild Wings Citrus,Michigan,Florida  ,4,2016-01-01 18:00:00 -800,ABC
BattleFrog Fiesta,Ohio State,Notre Dame,6.5,2016-01-01 18:00:00 -800,ESPN
Rose,Stanford,Iowa,6.5,2016-01-01 22:00:00 -800,ESPN
Allstate Sugar,Mississippi  ,Oklahoma State,6.5,2016-01-02 01:30:00 -800,ESPN
Tax Slayer,Georgia,Penn State,6.5,2016-01-02 17:00:00 -800,ESPN
AutoZone Liberty,Arkansas,Kansas State,11.5,2016-01-02 20:20:00 -800,ESPN
Valero Alamo,TCU,Oregon,1,2016-01-02 23:45:00 -800,ESPN
Motel 6 Cactus,Arizona State,West Virginia,1,2016-01-03 04:15:00 -800,ESPN